//X Y Z isTree Original_cloud_index
10477
-0.97027862 -0.00000257 -0.15367681 0.000000 0.000000
-1.24469495 -0.00000330 -0.15282908 0.000000 0.000000
-1.76110077 -0.00000467 -0.15407613 0.000000 0.000000
-2.94790864 -0.00000782 -0.15449312 0.000000 0.000000
-8.87723732 -0.00002356 -0.15495253 0.000000 0.000000
-0.95826012 -0.00321543 -0.15177412 0.000000 0.000000
-1.25178623 -0.00420035 -0.15370066 0.000000 0.000000
-1.75813055 -0.00589938 -0.15381713 0.000000 0.000000
-2.93897915 -0.00986170 -0.15402602 0.000000 0.000000
-8.88026714 -0.02979759 -0.15500627 0.000000 0.000000
-0.98238128 -0.00659020 -0.15559718 0.000000 0.000000
-1.25999367 -0.00845253 -0.15471102 0.000000 0.000000
-1.73986745 -0.01167171 -0.15222187 0.000000 0.000000
-2.93453312 -0.01968599 -0.15379560 0.000000 0.000000
-8.88155079 -0.05958090 -0.15503131 0.000000 0.000000
-0.98783988 -0.00993910 -0.15646614 0.000000 0.000000
-1.26019025 -0.01267934 -0.15473950 0.000000 0.000000
-1.77300012 -0.01783894 -0.15512502 0.000000 0.000000
-2.94373322 -0.02961821 -0.15428211 0.000000 0.000000
-8.87515450 -0.08929688 -0.15492402 0.000000 0.000000
-0.98000121 -0.01314645 -0.15523067 0.000000 0.000000
-1.26028645 -0.01690640 -0.15475741 0.000000 0.000000
-1.76143646 -0.02362919 -0.15411936 0.000000 0.000000
-2.95215702 -0.03960238 -0.15472968 0.000000 0.000000
-8.88079166 -0.11913341 -0.15502852 0.000000 0.000000
-0.96798021 -0.01623139 -0.15333432 0.000000 0.000000
-1.23835170 -0.02076507 -0.15207161 0.000000 0.000000
-1.77105248 -0.02969756 -0.15496856 0.000000 0.000000
-2.94417429 -0.04936884 -0.15431911 0.000000 0.000000
-8.88229084 -0.14894103 -0.15506253 0.000000 0.000000
-0.97184122 -0.01955566 -0.15395546 0.000000 0.000000
-1.26131833 -0.02538059 -0.15490153 0.000000 0.000000
-1.76328290 -0.03548126 -0.15429826 0.000000 0.000000
-2.94561791 -0.05927253 -0.15440431 0.000000 0.000000
-8.87947369 -0.17867520 -0.15502293 0.000000 0.000000
-0.97027427 -0.02277883 -0.15371846 0.000000 0.000000
-1.25077164 -0.02936398 -0.15361755 0.000000 0.000000
-1.75386739 -0.04117500 -0.15348557 0.000000 0.000000
-2.95714283 -0.06942391 -0.15501976 0.000000 0.000000
-8.86271191 -0.20806712 -0.15474162 0.000000 0.000000
-0.98532641 -0.02643791 -0.15611631 0.000000 0.000000
-1.24451935 -0.03339249 -0.15286253 0.000000 0.000000
-1.75808740 -0.04717235 -0.15386786 0.000000 0.000000
-2.93639374 -0.07878823 -0.15394503 0.000000 0.000000
-8.87799072 -0.23821096 -0.15502144 0.000000 0.000000
-0.97925824 -0.02956104 -0.15516968 0.000000 0.000000
-1.25852001 -0.03799116 -0.15459698 0.000000 0.000000
-1.76428545 -0.05325880 -0.15442505 0.000000 0.000000
-2.94657731 -0.08894885 -0.15449369 0.000000 0.000000
-8.87801838 -0.26800230 -0.15503675 0.000000 0.000000
-0.98078066 -0.03289872 -0.15542753 0.000000 0.000000
-1.24285638 -0.04168963 -0.15268917 0.000000 0.000000
-1.76076686 -0.05906210 -0.15413354 0.000000 0.000000
-2.94116330 -0.09865662 -0.15422630 0.000000 0.000000
-8.86933136 -0.29750755 -0.15490159 0.000000 0.000000
-0.98298377 -0.03627247 -0.15579505 0.000000 0.000000
-1.24937403 -0.04610238 -0.15350802 0.000000 0.000000
-1.75807297 -0.06487356 -0.15391591 0.000000 0.000000
-2.94430923 -0.10864613 -0.15440950 0.000000 0.000000
-8.86073589 -0.32696453 -0.15476975 0.000000 0.000000
-0.95971507 -0.03863639 -0.15212683 0.000000 0.000000
-1.26975107 -0.05111788 -0.15603188 0.000000 0.000000
-1.77038467 -0.07127248 -0.15501383 0.000000 0.000000
-2.94556689 -0.11858320 -0.15449545 0.000000 0.000000
-8.85938168 -0.35666269 -0.15476611 0.000000 0.000000
-0.96965694 -0.04229344 -0.15372436 0.000000 0.000000
-1.26492715 -0.05517222 -0.15546097 0.000000 0.000000
-1.76602435 -0.07702852 -0.15465377 0.000000 0.000000
-2.93878603 -0.12818076 -0.15416145 0.000000 0.000000
-8.85451126 -0.38620642 -0.15470278 0.000000 0.000000
-0.97075236 -0.04560265 -0.15392140 0.000000 0.000000
-1.25945270 -0.05916481 -0.15481165 0.000000 0.000000
-1.76159620 -0.08275381 -0.15428942 0.000000 0.000000
-2.94719911 -0.13844942 -0.15462627 0.000000 0.000000
